# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  2)   0.170 us    |      os_get_current_thread [nvidia]();
  2)   0.200 us    |      os_get_cpu_number [nvidia]();
  2)   0.150 us    |      os_is_isr [nvidia]();
  2)               |      nv_uvm_event_interrupt [nvidia]() {
  2)               |        uvm_isr_top_half_entry [nvidia_uvm]() {
  2)               |          uvm_isr_top_half [nvidia_uvm]() {
  2)   0.190 us    |            uvm_parent_gpu_get_by_uuid_locked [nvidia_uvm]();
  2)   0.510 us    |          }
  2)   0.832 us    |        }
  2)   1.172 us    |      }
  2)   0.170 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_is_isr [nvidia]();
  2)   0.160 us    |      os_get_current_thread [nvidia]();
  2)   0.150 us    |      os_semaphore_may_sleep [nvidia]();
  2)   0.291 us    |      os_acquire_spinlock [nvidia]();
  2)   0.160 us    |      os_release_spinlock [nvidia]();
  2)   0.180 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_get_cpu_number [nvidia]();
  2)   0.161 us    |      os_get_current_tick [nvidia]();
  2)   0.150 us    |      os_get_current_tick [nvidia]();
  2)   0.151 us    |      os_get_current_thread [nvidia]();
  2)   0.160 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_get_cpu_number [nvidia]();
  2)   0.160 us    |      os_is_isr [nvidia]();
  2)   0.340 us    |      os_get_current_time [nvidia]();
  2) + 11.347 us   |    }
  2) + 11.748 us   |  }
 ------------------------------------------
  2)    <idle>-0    =>  irq/42--1186 
 ------------------------------------------

  2)               |  nvidia_isr_msix_kthread_bh [nvidia]() {
  2)   0.931 us    |    os_acquire_mutex [nvidia]();
  2)   0.270 us    |    os_mem_set [nvidia]();
  2)   0.170 us    |    os_is_isr [nvidia]();
  2)   0.271 us    |    os_get_current_thread [nvidia]();
  2)   0.180 us    |    os_mem_set [nvidia]();
  2)   0.170 us    |    os_get_cpu_number [nvidia]();
